tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.013200,0.006000,0.005000,0.024700,0.016000,0.016000,0.019100,0.013000,0.013000,0.023000,0.005000,0.007000,
200000,0.026700,0.012000,0.010000,0.051000,0.032000,0.032000,0.041800,0.029000,0.028000,0.049800,0.010000,0.014000,
300000,0.039500,0.017000,0.014000,0.077500,0.048000,0.049000,0.064400,0.043000,0.043000,0.078600,0.015000,0.021000,
400000,0.053400,0.023000,0.019000,0.104800,0.067000,0.065000,0.089900,0.060000,0.059000,0.111600,0.022000,0.027000,
500000,0.066300,0.028000,0.025000,0.131700,0.084000,0.084000,0.114800,0.077000,0.076000,0.142900,0.028000,0.038000,
600000,0.081500,0.035000,0.030000,0.162200,0.108000,0.102000,0.143400,0.092000,0.093000,0.178400,0.033000,0.047000,
700000,0.094700,0.041000,0.036000,0.190500,0.121000,0.120000,0.168300,0.109000,0.108000,0.212600,0.038000,0.054000,
800000,0.106900,0.047000,0.042000,0.215400,0.138000,0.136000,0.191900,0.124000,0.122000,0.245300,0.044000,0.066000,
900000,0.120900,0.054000,0.047000,0.244200,0.156000,0.154000,0.222600,0.142000,0.141000,0.279500,0.050000,0.069000,
1000000,0.133900,0.059000,0.051000,0.273700,0.175000,0.178000,0.247600,0.161000,0.160000,0.314400,0.058000,0.076000,
